date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:09:50	174741/174741	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202023%2006:05:29%20GMT	https://cefoisa.com/	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/index.html	(from )
01:09:50	108/108	---M-Z	200	added ('OK')	text/plain	date:Mon,%2011%20Dec%202023%2006:05:30%20GMT	https://cefoisa.com/robots.txt		(from )
01:09:51	41525/41525	---M-Z	200	added ('OK')	text/css	etag:%22a235-65637206-eb35d35ec2422d93;gz%22	https://cefoisa.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.5.1	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/themes/astra/assets/css/minified/main.min8686.css	(from https://cefoisa.com/)
01:09:51	1665/1665	---M-Z	200	added ('OK')	application/rss+xml	etag:%227d95bc5628c2bf91de93e791f78c95fa%22	https://cefoisa.com/feed/	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/feed/index.html	(from https://cefoisa.com/)
01:09:52	1705/1705	---M-Z	200	added ('OK')	application/rss+xml	etag:%227d95bc5628c2bf91de93e791f78c95fa%22	https://cefoisa.com/comments/feed/	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/comments/feed/index.html	(from https://cefoisa.com/)
01:09:53	110035/110035	---M-Z	200	added ('OK')	text/css	etag:%221add3-65630830-dc1233664487f8f8;gz%22	https://cefoisa.com/wp-includes/css/dist/block-library/style.min.css?ver=6.4.2	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-includes/css/dist/block-library/style.min1e39.css	(from https://cefoisa.com/)
01:09:53	225/225	---M--	200	added ('OK')	text/css	etag:%22e1-65638b71-936bf7db2214c975;;;%22	https://cefoisa.com/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min.css?ver=2.10.1	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/spectra-block-positioning.min3894.css	(from https://cefoisa.com/)
01:09:54	153827/153827	---M-Z	200	added ('OK')	text/css	etag:%22258e3-6571191e-31aa28b76a661b32;gz%22	https://cefoisa.com/wp-content/uploads/uag-plugin/assets/1000/uag-css-906-1701910814.css?ver=2.10.1	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/uag-plugin/assets/1000/uag-css-906-17019108143894.css	(from https://cefoisa.com/)
01:09:55	32564/32564	---M-Z	200	added ('OK')	text/css	etag:%227f34-6567ce86-d67375cc0181bf17;gz%22	https://cefoisa.com/wp-content/plugins/wp-whatsapp-chat/build/frontend/css/style.css?ver=7.1.9	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/plugins/wp-whatsapp-chat/build/frontend/css/style22a1.css	(from https://cefoisa.com/)
01:09:55	27646/27646	---M-Z	200	added ('OK')	application/json	date:Mon,%2011%20Dec%202023%2006:05:35%20GMT	https://cefoisa.com/wp-json/wp/v2/pages/906	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-json/wp/v2/pages/906.json	(from https://cefoisa.com/)
01:09:56	320237/320237	---MCZ	200	added ('OK')	application/json	date:Mon,%2011%20Dec%202023%2006:05:35%20GMT	https://cefoisa.com/wp-json/	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-json/index.html	(from https://cefoisa.com/)
01:09:56	780/780	---M-Z	200	added ('OK')	text/xml	date:Mon,%2011%20Dec%202023%2006:05:36%20GMT	https://cefoisa.com/xmlrpc.php?rsd	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/xmlrpc0db0.php	(from https://cefoisa.com/)
01:09:57	2058/2058	---M-Z	200	added ('OK')	application/json	date:Mon,%2011%20Dec%202023%2006:05:37%20GMT	https://cefoisa.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcefoisa.com%2F	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-json/oembed/1.0/embed44d3.json	(from https://cefoisa.com/)
01:09:58	2219/2219	---M-Z	200	added ('OK')	text/xml	date:Mon,%2011%20Dec%202023%2006:05:37%20GMT	https://cefoisa.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcefoisa.com%2F&format=xml	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-json/oembed/1.0/embeddb40	(from https://cefoisa.com/)
01:09:59	28116/28116	---M-Z	200	added ('OK')	image/svg+xml	etag:%226dd4-65638b05-a49034e9ad05ff5a;gz%22	https://cefoisa.com/wp-content/uploads/2023/11/logo.svg	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2023/11/logo.svg	(from https://cefoisa.com/)
01:10:00	160639/160639	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202023%2006:05:39%20GMT	https://cefoisa.com/about/	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/about/index.html	(from https://cefoisa.com/)
01:10:00	166386/166386	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202023%2006:05:39%20GMT	https://cefoisa.com/services/	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/services/index.html	(from https://cefoisa.com/)
01:10:00	206710/206710	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202023%2006:05:40%20GMT	https://cefoisa.com/projects/	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/projects/index.html	(from https://cefoisa.com/)
01:10:01	163869/163869	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202023%2006:05:40%20GMT	https://cefoisa.com/contact/	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/contact/index.html	(from https://cefoisa.com/)
01:10:01	306511/306511	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Dec%202023%2006:05:40%20GMT	https://cefoisa.com/wp-content/uploads/2023/11/CV_-BROCHURE-CEFOISA-ACTUALIZADO-2022-1_page-0020.jpg	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2023/11/CV_-BROCHURE-CEFOISA-ACTUALIZADO-2022-1_page-0020.jpg	(from https://cefoisa.com/)
01:10:03	312761/312761	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Dec%202023%2006:05:42%20GMT	https://cefoisa.com/wp-content/uploads/2023/12/Portada_Contacto.jpg	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2023/12/Portada_Contacto.jpg	(from https://cefoisa.com/)
01:10:05	538312/538312	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202023%2006:05:43%20GMT	https://cefoisa.com/wp-content/uploads/2023/12/image.png	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2023/12/image.png	(from https://cefoisa.com/)
01:10:06	383227/383227	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Dec%202023%2006:05:44%20GMT	https://cefoisa.com/wp-content/uploads/2023/12/piling-rig-4429049_1280.jpg	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2023/12/piling-rig-4429049_1280.jpg	(from https://cefoisa.com/)
01:10:06	44670/44670	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Dec%202023%2006:05:45%20GMT	https://cefoisa.com/wp-content/uploads/2021/06/services-11.jpg	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2021/06/services-11.jpg	(from https://cefoisa.com/)
01:10:07	4835/4835	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Dec%202023%2006:05:46%20GMT	https://cefoisa.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-12.23.03-1.jpeg	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-26-at-12.23.03-1.jpg	(from https://cefoisa.com/)
01:10:08	23308/23308	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Dec%202023%2006:05:47%20GMT	https://cefoisa.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-22-at-8.35.20-PM-1.jpeg	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-11-22-at-8.35.20-PM-1.jpg	(from https://cefoisa.com/)
01:10:08	41964/41964	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202023%2006:05:48%20GMT	https://cefoisa.com/wp-content/uploads/2023/12/jeanpier.png	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2023/12/jeanpier.png	(from https://cefoisa.com/)
01:10:09	21181/21181	---M-Z	200	added ('OK')	application/x-javascript	etag:%2252bd-65637206-cef27b7286b5594f;gz%22	https://cefoisa.com/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.5.1	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/themes/astra/assets/js/minified/frontend.min8686.js	(from https://cefoisa.com/)
01:10:10	4500/4500	---M-Z	200	added ('OK')	application/x-javascript	etag:%221194-65638b71-7f836e7c7516d723;gz%22	https://cefoisa.com/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/spectra-block-positioning.min.js?ver=2.10.1	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/spectra-block-positioning.min3894.js	(from https://cefoisa.com/)
01:10:11	7437/7437	---M-Z	200	added ('OK')	application/x-javascript	etag:%221d0d-6567ce86-1b0c92aa7b3f94f5;gz%22	https://cefoisa.com/wp-content/plugins/wp-whatsapp-chat/build/frontend/js/index.js?ver=94d83fb2a949d0dce93a	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/plugins/wp-whatsapp-chat/build/frontend/js/index9ca6.js	(from https://cefoisa.com/)
01:10:14	755090/755090	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Dec%202023%2006:05:52%20GMT	https://cefoisa.com/wp-content/uploads/2023/12/construction-site-1359136_1280.jpg	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2023/12/construction-site-1359136_1280.jpg	(from https://cefoisa.com/wp-content/uploads/uag-plugin/assets/1000/uag-css-906-1701910814.css?ver=2.10.1)
01:10:14	197364/197364	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Dec%202023%2006:05:53%20GMT	https://cefoisa.com/wp-content/uploads/2021/06/quotes-min.jpg	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2021/06/quotes-min.jpg	(from https://cefoisa.com/wp-content/uploads/uag-plugin/assets/1000/uag-css-906-1701910814.css?ver=2.10.1)
01:10:14	22176/22176	---M-Z	200	added ('OK')	text/css	etag:%2256a0-65638b71-c0deec0cff24ed3e;gz%22	https://cefoisa.com/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/aos.min.css?ver=2.10.1	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/plugins/ultimate-addons-for-gutenberg/assets/css/aos.min3894.css	(from https://cefoisa.com/about/)
01:10:15	45587/45587	---M-Z	200	added ('OK')	text/css	etag:%22b213-65735206-fc49e9a772d971e5;gz%22	https://cefoisa.com/wp-content/uploads/uag-plugin/assets/1000/uag-css-908-1702056454.css?ver=2.10.1	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/uag-plugin/assets/1000/uag-css-908-17020564543894.css	(from https://cefoisa.com/about/)
01:10:16	12090/12090	---MCZ	200	added ('OK')	application/json	date:Mon,%2011%20Dec%202023%2006:05:55%20GMT	https://cefoisa.com/wp-json/wp/v2/pages/908	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-json/wp/v2/pages/908.json	(from https://cefoisa.com/about/)
01:10:17	2090/2090	---M-Z	200	added ('OK')	application/json	date:Mon,%2011%20Dec%202023%2006:05:56%20GMT	https://cefoisa.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcefoisa.com%2Fabout%2F	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-json/oembed/1.0/embedb7a2.json	(from https://cefoisa.com/about/)
01:10:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Dec%202023%2006:05:57%20GMT	https://cefoisa.com/?p=908	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/indexdd92.html	(from https://cefoisa.com/about/)
01:10:18	2249/2249	---M-Z	200	added ('OK')	text/xml	date:Mon,%2011%20Dec%202023%2006:05:58%20GMT	https://cefoisa.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcefoisa.com%2Fabout%2F&format=xml	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-json/oembed/1.0/embedc6ba	(from https://cefoisa.com/about/)
01:10:20	34079/34079	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Dec%202023%2006:05:59%20GMT	https://cefoisa.com/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-29-at-21.16.01.jpeg	C:/Users/FRANK/Escritorio/laboratorio%20Cefoisa/cefoisa.com/wp-content/uploads/2023/11/WhatsApp-Image-2023-11-29-at-21.16.01.jpg	(from https://cefoisa.com/about/)
